Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/DDS-2052/DDS_3840,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:36:31,0.076s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:36:31,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3841,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:36:31,0.068s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:36:31,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3842,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:36:31,0.069s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:36:31,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3843,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:36:31,0.073s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:36:31,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3847,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:37:29,58.618s,FAILED
callTestCase,Firefox 52.0,,2018-07-02 20:36:31,2018-07-02 20:37:09,37.656s,PASSED
delay,Firefox 52.0,,2018-07-02 20:37:09,2018-07-02 20:37:29,20.002s,PASSED
click,Firefox 52.0,,2018-07-02 20:37:29,2018-07-02 20:37:29,0.880s,FAILED
,,,,,,
Test Cases/DDS-2052/DDS_3848,Firefox 52.0,,2018-07-02 20:37:29,2018-07-02 20:37:30,0.070s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3849,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.073s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.001s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3850,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.082s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3851,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.073s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3852,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.075s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3853,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.072s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3854,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.061s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3855,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.055s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3857,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.063s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3860,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.069s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:30,0.001s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3861,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:38:11,41.215s,FAILED
callTestCase,Firefox 52.0,,2018-07-02 20:37:30,2018-07-02 20:37:45,14.981s,PASSED
delay,Firefox 52.0,,2018-07-02 20:37:45,2018-07-02 20:38:05,20.001s,PASSED
doubleClick,Firefox 52.0,,2018-07-02 20:38:05,2018-07-02 20:38:06,0.697s,PASSED
delay,Firefox 52.0,,2018-07-02 20:38:06,2018-07-02 20:38:11,5.002s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementAttributeValue(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Cart Page/Empty Cart Button), ""ng-reflect-is-disabled"", ""false"", 5) == true)",Firefox 52.0,,2018-07-02 20:38:11,2018-07-02 20:38:11,0.451s,FAILED
,,,,,,
Test Cases/DDS-2052/DDS_3865,Firefox 52.0,,2018-07-02 20:38:11,2018-07-02 20:38:11,0.054s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:38:11,2018-07-02 20:38:11,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3877,Firefox 52.0,,2018-07-02 20:38:11,2018-07-02 20:38:59,47.641s,FAILED
openBrowser,Firefox 52.0,,2018-07-02 20:38:12,2018-07-02 20:38:21,9.381s,PASSED
waitForElementVisible,Firefox 52.0,,2018-07-02 20:38:21,2018-07-02 20:38:21,0.070s,PASSED
sendKeys,Firefox 52.0,,2018-07-02 20:38:21,2018-07-02 20:38:21,0.072s,PASSED
sendKeys,Firefox 52.0,,2018-07-02 20:38:21,2018-07-02 20:38:21,0.071s,PASSED
click,Firefox 52.0,,2018-07-02 20:38:21,2018-07-02 20:38:22,1.008s,PASSED
delay,Firefox 52.0,,2018-07-02 20:38:22,2018-07-02 20:38:27,5.002s,PASSED
sendKeys,Firefox 52.0,,2018-07-02 20:38:27,2018-07-02 20:38:59,31.952s,FAILED
,,,,,,
Test Cases/DDS-2052/DDS_3885,Firefox 52.0,,2018-07-02 20:38:59,2018-07-02 20:38:59,0.052s,ERROR
